Pair,Predictor
94,NEE
94,ocd
95,NEE
95,ph
96,NEE
96,cont
97,NEE
97,corr
98,NEE
98,cv
99,NEE
99,diss
100,NEE
100,east
101,NEE
101,elev
102,NEE
102,entr
103,NEE
103,even
104,NEE
104,flat
105,NEE
105,HD
106,NEE
106,HD7
107,NEE
107,HD9
108,NEE
108,hollow
109,NEE
109,homo
110,NEE
110,max
111,NEE
111,north
112,NEE
112,pcurv
113,NEE
113,rang
114,NEE
114,rough
115,NEE
115,shan
116,NEE
116,simp
117,NEE
117,slope
118,NEE
118,std
119,NEE
119,tcurv
120,NEE
120,tpi
121,NEE
121,unif
122,NEE
122,var
123,NEE
123,rpot_LAG4
124,NEE
124,rpot_LAG8
125,NEE
125,rpot_LAG12
126,NEE
126,rpot_LEAD4
127,NEE
127,rpot_LEAD8
128,NEE
128,rpot_LEAD12
129,NEE
129,WFS_LAG4
130,NEE
130,WFS_LAG8
131,NEE
131,WFS_LAG12
132,NEE
132,WFS_LEAD4
133,NEE
133,WFS_LEAD8
134,NEE
134,WFS_LEAD12
135,NEE
135,LSTN_LAG1
136,NEE
136,LSTN_LAG2
137,NEE
137,LSTN_LAG3
138,NEE
138,LSTN_LEAD1
139,NEE
139,LSTN_LEAD2
140,NEE
140,LSTN_LEAD3
141,NEE
141,NDSI_LAG1
142,NEE
142,NDSI_LAG2
143,NEE
143,NDSI_LAG3
144,NEE
144,NDSI_LEAD1
145,NEE
145,NDSI_LEAD2
146,NEE
146,NDSI_LEAD3
147,NEE
147,NDVI_LAG1
148,NEE
148,NDVI_LAG2
149,NEE
149,NDVI_LAG3
150,NEE
150,NDVI_LEAD1
151,NEE
151,NDVI_LEAD2
152,NEE
152,NDVI_LEAD3
153,NEE
153,EVI_LAG1
154,NEE
154,EVI_LAG2
155,NEE
155,EVI_LAG3
156,NEE
156,EVI_LEAD1
157,NEE
157,EVI_LEAD2
158,NEE
158,EVI_LEAD3
159,NEE
159,NDWI_LAG1
160,NEE
160,NDWI_LAG2
161,NEE
161,NDWI_LAG3
162,NEE
162,NDWI_LEAD1
163,NEE
163,NDWI_LEAD2
164,NEE
164,NDWI_LEAD3
165,NEE
165,SRWI_LAG1
166,NEE
166,SRWI_LAG2
167,NEE
167,SRWI_LAG3
168,NEE
168,SRWI_LEAD1
169,NEE
169,SRWI_LEAD2
170,NEE
170,SRWI_LEAD3
171,NEE
171,LSWI_LAG1
172,NEE
172,LSWI_LAG2
173,NEE
173,LSWI_LAG3
174,NEE
174,LSWI_LEAD1
175,NEE
175,LSWI_LEAD2
176,NEE
176,LSWI_LEAD3
177,NEE
177,soilwater_LAG4
178,NEE
178,soilwater_LAG8
179,NEE
179,soilwater_LAG12
180,NEE
180,soilwater_LEAD4
181,NEE
181,soilwater_LEAD8
182,NEE
182,soilwater_LEAD12
183,NEE
183,soilwaterS_LAG4
184,NEE
184,soilwaterS_LAG8
185,NEE
185,soilwaterS_LAG12
186,NEE
186,soilwaterS_LEAD4
187,NEE
187,soilwaterS_LEAD8
188,NEE
188,soilwaterS_LEAD12
189,NEE
189,aet_LAG4
190,NEE
190,aet_LAG8
191,NEE
191,aet_LAG12
192,NEE
192,aet_LEAD4
193,NEE
193,aet_LEAD8
194,NEE
194,aet_LEAD12
195,NEE
195,aetS_LAG4
196,NEE
196,aetS_LAG8
197,NEE
197,aetS_LAG12
198,NEE
198,aetS_LEAD4
199,NEE
199,aetS_LEAD8
200,NEE
200,aetS_LEAD12
201,NEE
201,TA_LAG1
202,NEE
202,TA_LAG2
203,NEE
203,TA_LAG3
204,NEE
204,TA_LEAD1
205,NEE
205,TA_LEAD2
206,NEE
206,TA_LEAD3
207,NEE
207,SW_IN_LAG1
208,NEE
208,SW_IN_LAG2
209,NEE
209,SW_IN_LAG3
210,NEE
210,SW_IN_LEAD1
211,NEE
211,SW_IN_LEAD3
212,NEE
212,LW_IN_LAG1
213,NEE
213,LW_IN_LAG2
214,NEE
214,LW_IN_LAG3
215,NEE
215,LW_IN_LEAD1
216,NEE
216,LW_IN_LEAD2
217,NEE
217,LW_IN_LEAD3
218,NEE
218,PA_LAG1
219,NEE
219,PA_LAG2
220,NEE
220,PA_LAG3
221,NEE
221,PA_LEAD1
222,NEE
222,PA_LEAD2
223,NEE
223,PA_LEAD3
224,NEE
224,VPD_LAG1
225,NEE
225,VPD_LAG2
226,NEE
226,VPD_LAG3
227,NEE
227,VPD_LEAD1
228,NEE
228,VPD_LEAD2
229,NEE
229,VPD_LEAD3
230,NEE
230,P_LAG1
231,NEE
231,P_LAG2
232,NEE
232,P_LAG3
233,NEE
233,P_LEAD1
234,NEE
234,P_LEAD2
235,NEE
235,P_LEAD3
236,NEE
236,NEE_LAG1
237,NEE
237,NEE_LAG2
238,NEE
238,NEE_LAG3
239,NEE
239,NEE_LEAD1
240,NEE
240,NEE_LEAD2
241,NEE
241,NEE_LEAD3
242,NEE
242,GPP_LAG1
243,NEE
243,GPP_LAG2
244,NEE
244,GPP_LAG3
245,NEE
245,GPP_LEAD1
246,NEE
246,GPP_LEAD2
247,NEE
247,GPP_LEAD3
248,NEE
248,RECO_LAG1
249,NEE
249,RECO_LAG2
250,NEE
250,RECO_LAG3
251,NEE
251,RECO_LEAD1
252,NEE
252,RECO_LEAD2
253,NEE
253,RECO_LEAD3
254,NEE
254,LE_LAG1
255,NEE
255,LE_LAG2
256,NEE
256,LE_LAG3
257,NEE
257,LE_LEAD1
258,NEE
258,LE_LEAD2
259,NEE
259,LE_LEAD3
260,GPP
260,RECO
261,GPP
261,SW_IN
262,GPP
262,LW_IN
263,GPP
263,LE
264,GPP
264,TA
265,GPP
265,PA
266,GPP
266,VPD
267,GPP
267,P
268,GPP
268,NDSI_msc
269,GPP
269,NDVI_msc
270,GPP
270,EVI_msc
271,GPP
271,NDWI_msc
272,GPP
272,SRWI_msc
273,GPP
273,LSWI_msc
274,GPP
274,LSTN_msc
275,GPP
275,NDSI
276,GPP
276,NDVI
277,GPP
277,EVI
278,GPP
278,NDWI
279,GPP
279,SRWI
280,GPP
280,LSWI
281,GPP
281,LSTN
282,GPP
282,NDSI_mean
283,GPP
283,NDVI_mean
284,GPP
284,EVI_mean
285,GPP
285,NDWI_mean
286,GPP
286,SRWI_mean
287,GPP
287,LSWI_mean
288,GPP
288,LSTN_mean
289,GPP
289,NDSI_min
290,GPP
290,NDVI_min
291,GPP
291,EVI_min
292,GPP
292,NDWI_min
293,GPP
293,SRWI_min
294,GPP
294,LSWI_min
295,GPP
295,LSTN_min
296,GPP
296,NDSI_max
297,GPP
297,NDVI_max
298,GPP
298,EVI_max
299,GPP
299,NDWI_max
300,GPP
300,SRWI_max
301,GPP
301,LSWI_max
302,GPP
302,LSTN_max
303,GPP
303,NDSI_amp
304,GPP
304,NDVI_amp
305,GPP
305,EVI_amp
306,GPP
306,NDWI_amp
307,GPP
307,SRWI_amp
308,GPP
308,LSWI_amp
309,GPP
309,LSTN_amp
310,GPP
310,WF
311,GPP
311,WFS
312,GPP
312,WFR
313,GPP
313,aet
314,GPP
314,aetS
315,GPP
315,aetR
316,GPP
316,soilwater
317,GPP
317,soilwaterS
318,GPP
318,soilwaterR
319,GPP
319,nx_depo
320,GPP
320,ny_dep
321,GPP
321,s_dep
322,GPP
322,nt_depo
323,GPP
323,bare
324,GPP
324,shrub
325,GPP
325,tree
326,GPP
326,rpot
327,GPP
327,canopyht
328,GPP
328,cti
329,GPP
329,wc_mat
330,GPP
330,wc_dtr
331,GPP
331,wc_iso
332,GPP
332,wc_ts
333,GPP
333,wc_mtqm
334,GPP
334,wc_mtcm
335,GPP
335,wc_tr
336,GPP
336,wc_mtwtq
337,GPP
337,wc_mtdq
338,GPP
338,wc_mtwq
339,GPP
339,wc_mtcq
340,GPP
340,wc_map
341,GPP
341,wc_pwtm
342,GPP
342,wc_pdm
343,GPP
343,wc_ps
344,GPP
344,wc_pwtq
345,GPP
345,wc_pdq
346,GPP
346,wc_pwq
347,GPP
347,wc_pcq
348,GPP
348,awc
349,GPP
349,bd
350,GPP
350,clay
351,GPP
351,hist
352,GPP
352,ocd
353,GPP
353,ph
354,GPP
354,cont
355,GPP
355,corr
356,GPP
356,cv
357,GPP
357,diss
358,GPP
358,east
359,GPP
359,elev
360,GPP
360,entr
361,GPP
361,even
362,GPP
362,flat
363,GPP
363,HD
364,GPP
364,HD7
365,GPP
365,HD9
366,GPP
366,hollow
367,GPP
367,homo
368,GPP
368,max
369,GPP
369,north
370,GPP
370,pcurv
371,GPP
371,rang
372,GPP
372,rough
373,GPP
373,shan
374,GPP
374,simp
375,GPP
375,slope
376,GPP
376,std
377,GPP
377,tcurv
378,GPP
378,tpi
379,GPP
379,unif
380,GPP
380,var
381,GPP
381,rpot_LAG4
382,GPP
382,rpot_LAG8
383,GPP
383,rpot_LAG12
384,GPP
384,rpot_LEAD4
385,GPP
385,rpot_LEAD8
386,GPP
386,rpot_LEAD12
387,GPP
387,WFS_LAG4
388,GPP
388,WFS_LAG8
389,GPP
389,WFS_LAG12
390,GPP
390,WFS_LEAD4
391,GPP
391,WFS_LEAD8
392,GPP
392,WFS_LEAD12
393,GPP
393,LSTN_LAG1
394,GPP
394,LSTN_LAG2
395,GPP
395,LSTN_LAG3
396,GPP
396,LSTN_LEAD1
397,GPP
397,LSTN_LEAD2
398,GPP
398,LSTN_LEAD3
399,GPP
399,NDSI_LAG1
400,GPP
400,NDSI_LAG2
401,GPP
401,NDSI_LAG3
402,GPP
402,NDSI_LEAD1
403,GPP
403,NDSI_LEAD2
404,GPP
404,NDSI_LEAD3
405,GPP
405,NDVI_LAG1
406,GPP
406,NDVI_LAG2
407,GPP
407,NDVI_LAG3
408,GPP
408,NDVI_LEAD1
409,GPP
409,NDVI_LEAD2
410,GPP
410,NDVI_LEAD3
411,GPP
411,EVI_LAG1
412,GPP
412,EVI_LAG2
413,GPP
413,EVI_LAG3
414,GPP
414,EVI_LEAD1
415,GPP
415,EVI_LEAD2
416,GPP
416,EVI_LEAD3
417,GPP
417,NDWI_LAG1
418,GPP
418,NDWI_LAG2
419,GPP
419,NDWI_LAG3
420,GPP
420,NDWI_LEAD1
421,GPP
421,NDWI_LEAD2
422,GPP
422,NDWI_LEAD3
423,GPP
423,SRWI_LAG1
424,GPP
424,SRWI_LAG2
425,GPP
425,SRWI_LAG3
426,GPP
426,SRWI_LEAD1
427,GPP
427,SRWI_LEAD2
428,GPP
428,SRWI_LEAD3
429,GPP
429,LSWI_LAG1
430,GPP
430,LSWI_LAG2
431,GPP
431,LSWI_LAG3
432,GPP
432,LSWI_LEAD1
433,GPP
433,LSWI_LEAD2
434,GPP
434,LSWI_LEAD3
435,GPP
435,soilwater_LAG4
436,GPP
436,soilwater_LAG8
437,GPP
437,soilwater_LAG12
438,GPP
438,soilwater_LEAD4
439,GPP
439,soilwater_LEAD8
440,GPP
440,soilwater_LEAD12
441,GPP
441,soilwaterS_LAG4
442,GPP
442,soilwaterS_LAG8
443,GPP
443,soilwaterS_LAG12
444,GPP
444,soilwaterS_LEAD4
445,GPP
445,soilwaterS_LEAD8
446,GPP
446,soilwaterS_LEAD12
447,GPP
447,aet_LAG4
448,GPP
448,aet_LAG8
449,GPP
449,aet_LAG12
450,GPP
450,aet_LEAD4
451,GPP
451,aet_LEAD8
452,GPP
452,aet_LEAD12
453,GPP
453,aetS_LAG4
454,GPP
454,aetS_LAG8
455,GPP
455,aetS_LAG12
456,GPP
456,aetS_LEAD4
457,GPP
457,aetS_LEAD8
458,GPP
458,aetS_LEAD12
459,GPP
459,TA_LAG1
460,GPP
460,TA_LAG2
461,GPP
461,TA_LAG3
462,GPP
462,TA_LEAD1
463,GPP
463,TA_LEAD2
464,GPP
464,TA_LEAD3
465,GPP
465,SW_IN_LAG1
466,GPP
466,SW_IN_LAG2
467,GPP
467,SW_IN_LAG3
468,GPP
468,SW_IN_LEAD1
469,GPP
469,SW_IN_LEAD3
470,GPP
470,LW_IN_LAG1
471,GPP
471,LW_IN_LAG2
472,GPP
472,LW_IN_LAG3
473,GPP
473,LW_IN_LEAD1
474,GPP
474,LW_IN_LEAD2
475,GPP
475,LW_IN_LEAD3
476,GPP
476,PA_LAG1
477,GPP
477,PA_LAG2
478,GPP
478,PA_LAG3
479,GPP
479,PA_LEAD1
480,GPP
480,PA_LEAD2
481,GPP
481,PA_LEAD3
482,GPP
482,VPD_LAG1
483,GPP
483,VPD_LAG2
484,GPP
484,VPD_LAG3
485,GPP
485,VPD_LEAD1
486,GPP
486,VPD_LEAD2
487,GPP
487,VPD_LEAD3
488,GPP
488,P_LAG1
489,GPP
489,P_LAG2
490,GPP
490,P_LAG3
491,GPP
491,P_LEAD1
492,GPP
492,P_LEAD2
493,GPP
493,P_LEAD3
494,GPP
494,NEE_LAG1
495,GPP
495,NEE_LAG2
496,GPP
496,NEE_LAG3
497,GPP
497,NEE_LEAD1
498,GPP
498,NEE_LEAD2
499,GPP
499,NEE_LEAD3
500,GPP
500,GPP_LAG1
501,GPP
501,GPP_LAG2
502,GPP
502,GPP_LAG3
503,GPP
503,GPP_LEAD1
504,GPP
504,GPP_LEAD2
505,GPP
505,GPP_LEAD3
506,GPP
506,RECO_LAG1
507,GPP
507,RECO_LAG2
508,GPP
508,RECO_LAG3
509,GPP
509,RECO_LEAD1
510,GPP
510,RECO_LEAD2
511,GPP
511,RECO_LEAD3
512,GPP
512,LE_LAG1
513,GPP
513,LE_LAG2
514,GPP
514,LE_LAG3
515,GPP
515,LE_LEAD1
516,GPP
516,LE_LEAD2
517,GPP
517,LE_LEAD3
518,RECO
518,SW_IN
519,RECO
519,LW_IN
520,RECO
520,LE
521,RECO
521,TA
522,RECO
522,PA
523,RECO
523,VPD
524,RECO
524,P
525,RECO
525,NDSI_msc
526,RECO
526,NDVI_msc
527,RECO
527,EVI_msc
528,RECO
528,NDWI_msc
529,RECO
529,SRWI_msc
530,RECO
530,LSWI_msc
531,RECO
531,LSTN_msc
532,RECO
532,NDSI
533,RECO
533,NDVI
534,RECO
534,EVI
535,RECO
535,NDWI
536,RECO
536,SRWI
537,RECO
537,LSWI
538,RECO
538,LSTN
539,RECO
539,NDSI_mean
540,RECO
540,NDVI_mean
541,RECO
541,EVI_mean
542,RECO
542,NDWI_mean
543,RECO
543,SRWI_mean
544,RECO
544,LSWI_mean
545,RECO
545,LSTN_mean
546,RECO
546,NDSI_min
547,RECO
547,NDVI_min
548,RECO
548,EVI_min
549,RECO
549,NDWI_min
550,RECO
550,SRWI_min
551,RECO
551,LSWI_min
552,RECO
552,LSTN_min
553,RECO
553,NDSI_max
554,RECO
554,NDVI_max
555,RECO
555,EVI_max
556,RECO
556,NDWI_max
557,RECO
557,SRWI_max
558,RECO
558,LSWI_max
559,RECO
559,LSTN_max
560,RECO
560,NDSI_amp
561,RECO
561,NDVI_amp
562,RECO
562,EVI_amp
563,RECO
563,NDWI_amp
564,RECO
564,SRWI_amp
565,RECO
565,LSWI_amp
566,RECO
566,LSTN_amp
567,RECO
567,WF
568,RECO
568,WFS
569,RECO
569,WFR
570,RECO
570,aet
571,RECO
571,aetS
572,RECO
572,aetR
573,RECO
573,soilwater
574,RECO
574,soilwaterS
575,RECO
575,soilwaterR
576,RECO
576,nx_depo
577,RECO
577,ny_dep
578,RECO
578,s_dep
579,RECO
579,nt_depo
580,RECO
580,bare
581,RECO
581,shrub
582,RECO
582,tree
583,RECO
583,rpot
584,RECO
584,canopyht
585,RECO
585,cti
586,RECO
586,wc_mat
587,RECO
587,wc_dtr
588,RECO
588,wc_iso
589,RECO
589,wc_ts
590,RECO
590,wc_mtqm
591,RECO
591,wc_mtcm
592,RECO
592,wc_tr
593,RECO
593,wc_mtwtq
594,RECO
594,wc_mtdq
595,RECO
595,wc_mtwq
596,RECO
596,wc_mtcq
597,RECO
597,wc_map
598,RECO
598,wc_pwtm
599,RECO
599,wc_pdm
600,RECO
600,wc_ps
601,RECO
601,wc_pwtq
602,RECO
602,wc_pdq
603,RECO
603,wc_pwq
604,RECO
604,wc_pcq
605,RECO
605,awc
606,RECO
606,bd
607,RECO
607,clay
608,RECO
608,hist
609,RECO
609,ocd
610,RECO
610,ph
611,RECO
611,cont
612,RECO
612,corr
613,RECO
613,cv
614,RECO
614,diss
615,RECO
615,east
616,RECO
616,elev
617,RECO
617,entr
618,RECO
618,even
619,RECO
619,flat
620,RECO
620,HD
621,RECO
621,HD7
622,RECO
622,HD9
623,RECO
623,hollow
624,RECO
624,homo
625,RECO
625,max
626,RECO
626,north
627,RECO
627,pcurv
628,RECO
628,rang
629,RECO
629,rough
630,RECO
630,shan
631,RECO
631,simp
632,RECO
632,slope
633,RECO
633,std
634,RECO
634,tcurv
635,RECO
635,tpi
636,RECO
636,unif
637,RECO
637,var
638,RECO
638,rpot_LAG4
639,RECO
639,rpot_LAG8
640,RECO
640,rpot_LAG12
641,RECO
641,rpot_LEAD4
642,RECO
642,rpot_LEAD8
643,RECO
643,rpot_LEAD12
644,RECO
644,WFS_LAG4
645,RECO
645,WFS_LAG8
646,RECO
646,WFS_LAG12
647,RECO
647,WFS_LEAD4
648,RECO
648,WFS_LEAD8
649,RECO
649,WFS_LEAD12
650,RECO
650,LSTN_LAG1
651,RECO
651,LSTN_LAG2
652,RECO
652,LSTN_LAG3
653,RECO
653,LSTN_LEAD1
654,RECO
654,LSTN_LEAD2
655,RECO
655,LSTN_LEAD3
656,RECO
656,NDSI_LAG1
657,RECO
657,NDSI_LAG2
658,RECO
658,NDSI_LAG3
659,RECO
659,NDSI_LEAD1
660,RECO
660,NDSI_LEAD2
661,RECO
661,NDSI_LEAD3
662,RECO
662,NDVI_LAG1
663,RECO
663,NDVI_LAG2
664,RECO
664,NDVI_LAG3
665,RECO
665,NDVI_LEAD1
666,RECO
666,NDVI_LEAD2
667,RECO
667,NDVI_LEAD3
668,RECO
668,EVI_LAG1
669,RECO
669,EVI_LAG2
670,RECO
670,EVI_LAG3
671,RECO
671,EVI_LEAD1
672,RECO
672,EVI_LEAD2
673,RECO
673,EVI_LEAD3
674,RECO
674,NDWI_LAG1
675,RECO
675,NDWI_LAG2
676,RECO
676,NDWI_LAG3
677,RECO
677,NDWI_LEAD1
678,RECO
678,NDWI_LEAD2
679,RECO
679,NDWI_LEAD3
680,RECO
680,SRWI_LAG1
681,RECO
681,SRWI_LAG2
682,RECO
682,SRWI_LAG3
683,RECO
683,SRWI_LEAD1
684,RECO
684,SRWI_LEAD2
685,RECO
685,SRWI_LEAD3
686,RECO
686,LSWI_LAG1
687,RECO
687,LSWI_LAG2
688,RECO
688,LSWI_LAG3
689,RECO
689,LSWI_LEAD1
690,RECO
690,LSWI_LEAD2
691,RECO
691,LSWI_LEAD3
692,RECO
692,soilwater_LAG4
693,RECO
693,soilwater_LAG8
694,RECO
694,soilwater_LAG12
695,RECO
695,soilwater_LEAD4
696,RECO
696,soilwater_LEAD8
697,RECO
697,soilwater_LEAD12
698,RECO
698,soilwaterS_LAG4
699,RECO
699,soilwaterS_LAG8
700,RECO
700,soilwaterS_LAG12
701,RECO
701,soilwaterS_LEAD4
702,RECO
702,soilwaterS_LEAD8
703,RECO
703,soilwaterS_LEAD12
704,RECO
704,aet_LAG4
705,RECO
705,aet_LAG8
706,RECO
706,aet_LAG12
707,RECO
707,aet_LEAD4
708,RECO
708,aet_LEAD8
709,RECO
709,aet_LEAD12
710,RECO
710,aetS_LAG4
711,RECO
711,aetS_LAG8
712,RECO
712,aetS_LAG12
713,RECO
713,aetS_LEAD4
714,RECO
714,aetS_LEAD8
715,RECO
715,aetS_LEAD12
716,RECO
716,TA_LAG1
717,RECO
717,TA_LAG2
718,RECO
718,TA_LAG3
719,RECO
719,TA_LEAD1
720,RECO
720,TA_LEAD2
721,RECO
721,TA_LEAD3
722,RECO
722,SW_IN_LAG1
723,RECO
723,SW_IN_LAG2
724,RECO
724,SW_IN_LAG3
725,RECO
725,SW_IN_LEAD1
726,RECO
726,SW_IN_LEAD3
727,RECO
727,LW_IN_LAG1
728,RECO
728,LW_IN_LAG2
729,RECO
729,LW_IN_LAG3
730,RECO
730,LW_IN_LEAD1
731,RECO
731,LW_IN_LEAD2
732,RECO
732,LW_IN_LEAD3
733,RECO
733,PA_LAG1
734,RECO
734,PA_LAG2
735,RECO
735,PA_LAG3
736,RECO
736,PA_LEAD1
737,RECO
737,PA_LEAD2
738,RECO
738,PA_LEAD3
739,RECO
739,VPD_LAG1
740,RECO
740,VPD_LAG2
741,RECO
741,VPD_LAG3
742,RECO
742,VPD_LEAD1
743,RECO
743,VPD_LEAD2
744,RECO
744,VPD_LEAD3
745,RECO
745,P_LAG1
746,RECO
746,P_LAG2
747,RECO
747,P_LAG3
748,RECO
748,P_LEAD1
749,RECO
749,P_LEAD2
750,RECO
750,P_LEAD3
751,RECO
751,NEE_LAG1
752,RECO
752,NEE_LAG2
753,RECO
753,NEE_LAG3
754,RECO
754,NEE_LEAD1
755,RECO
755,NEE_LEAD2
756,RECO
756,NEE_LEAD3
757,RECO
757,GPP_LAG1
758,RECO
758,GPP_LAG2
759,RECO
759,GPP_LAG3
760,RECO
760,GPP_LEAD1
761,RECO
761,GPP_LEAD2
762,RECO
762,GPP_LEAD3
763,RECO
763,RECO_LAG1
764,RECO
764,RECO_LAG2
765,RECO
765,RECO_LAG3
766,RECO
766,RECO_LEAD1
767,RECO
767,RECO_LEAD2
768,RECO
768,RECO_LEAD3
769,RECO
769,LE_LAG1
770,RECO
770,LE_LAG2
771,RECO
771,LE_LAG3
772,RECO
772,LE_LEAD1
773,RECO
773,LE_LEAD2
774,RECO
774,LE_LEAD3
775,SW_IN
775,LW_IN
776,SW_IN
776,LE
777,SW_IN
777,TA
778,SW_IN
778,PA
779,SW_IN
779,VPD
780,SW_IN
780,P
781,SW_IN
781,NDSI_msc
782,SW_IN
782,NDVI_msc
783,SW_IN
783,EVI_msc
784,SW_IN
784,NDWI_msc
785,SW_IN
785,SRWI_msc
786,SW_IN
786,LSWI_msc
787,SW_IN
787,LSTN_msc
788,SW_IN
788,NDSI
789,SW_IN
789,NDVI
790,SW_IN
790,EVI
791,SW_IN
791,NDWI
792,SW_IN
792,SRWI
793,SW_IN
793,LSWI
794,SW_IN
794,LSTN
795,SW_IN
795,NDSI_mean
796,SW_IN
796,NDVI_mean
797,SW_IN
797,EVI_mean
798,SW_IN
798,NDWI_mean
799,SW_IN
799,SRWI_mean
800,SW_IN
800,LSWI_mean
801,SW_IN
801,LSTN_mean
802,SW_IN
802,NDSI_min
803,SW_IN
803,NDVI_min
804,SW_IN
804,EVI_min
805,SW_IN
805,NDWI_min
806,SW_IN
806,SRWI_min
807,SW_IN
807,LSWI_min
808,SW_IN
808,LSTN_min
809,SW_IN
809,NDSI_max
810,SW_IN
810,NDVI_max
811,SW_IN
811,EVI_max
812,SW_IN
812,NDWI_max
813,SW_IN
813,SRWI_max
814,SW_IN
814,LSWI_max
815,SW_IN
815,LSTN_max
816,SW_IN
816,NDSI_amp
817,SW_IN
817,NDVI_amp
818,SW_IN
818,EVI_amp
819,SW_IN
819,NDWI_amp
820,SW_IN
820,SRWI_amp
821,SW_IN
821,LSWI_amp
822,SW_IN
822,LSTN_amp
823,SW_IN
823,WF
824,SW_IN
824,WFS
825,SW_IN
825,WFR
826,SW_IN
826,aet
827,SW_IN
827,aetS
828,SW_IN
828,aetR
829,SW_IN
829,soilwater
830,SW_IN
830,soilwaterS
831,SW_IN
831,soilwaterR
832,SW_IN
832,nx_depo
833,SW_IN
833,ny_dep
834,SW_IN
834,s_dep
835,SW_IN
835,nt_depo
836,SW_IN
836,bare
837,SW_IN
837,shrub
838,SW_IN
838,tree
839,SW_IN
839,rpot
840,SW_IN
840,canopyht
841,SW_IN
841,cti
842,SW_IN
842,wc_mat
843,SW_IN
843,wc_dtr
844,SW_IN
844,wc_iso
845,SW_IN
845,wc_ts
846,SW_IN
846,wc_mtqm
847,SW_IN
847,wc_mtcm
848,SW_IN
848,wc_tr
849,SW_IN
849,wc_mtwtq
850,SW_IN
850,wc_mtdq
851,SW_IN
851,wc_mtwq
852,SW_IN
852,wc_mtcq
853,SW_IN
853,wc_map
854,SW_IN
854,wc_pwtm
855,SW_IN
855,wc_pdm
856,SW_IN
856,wc_ps
857,SW_IN
857,wc_pwtq
858,SW_IN
858,wc_pdq
859,SW_IN
859,wc_pwq
860,SW_IN
860,wc_pcq
861,SW_IN
861,awc
862,SW_IN
862,bd
863,SW_IN
863,clay
864,SW_IN
864,hist
865,SW_IN
865,ocd
866,SW_IN
866,ph
867,SW_IN
867,cont
868,SW_IN
868,corr
869,SW_IN
869,cv
870,SW_IN
870,diss
871,SW_IN
871,east
872,SW_IN
872,elev
873,SW_IN
873,entr
874,SW_IN
874,even
875,SW_IN
875,flat
876,SW_IN
876,HD
877,SW_IN
877,HD7
878,SW_IN
878,HD9
879,SW_IN
879,hollow
880,SW_IN
880,homo
881,SW_IN
881,max
882,SW_IN
882,north
883,SW_IN
883,pcurv
884,SW_IN
884,rang
885,SW_IN
885,rough
886,SW_IN
886,shan
887,SW_IN
887,simp
888,SW_IN
888,slope
889,SW_IN
889,std
890,SW_IN
890,tcurv
891,SW_IN
